Composer
Anonymous
Emilio de Cavalieri
Nani di Milan
Alessandro Piccinini?
Jan P. Sweelinck or Robert Ballard
Robert Ballard or Jean Mercure
Jacques Gautier
John Sturt
Jacques? Gautier
Joachim van den Hove
Nicolas Vallet?
Giovanni A. Terzi
Matthäus Waissel?
Diomedes Cato?
Santino Garsi?
Robert Ballard or Charles de lEspine
Robert Kindersley?
Oswald von Wolkenstein
W.T.
Mercure dOrléans
Jacob Meiland?
Valentin Haussmann
Juden zu Maintz
Ulrich Zwingli
Julio Segni
Joachim van den Hove?
Michael Praetorius?
Valentin Bakfark?
M.D.H.
P.P.
A.R.
Antonio Scandello
Johan Pistre?
Matthäus Reymann
Francis Cutting?
Johann J. Loss
Johannes Rude
John Dowland (attr.)
Hortenzio Perla?
Antoine Francisque
Paolo dAragona
Robert Ballard?
Tuenhuisen
Giovanni G. Kapsberger
C.D.
Jakub Reys?
Raphael de Viola
Fabrizio Dentice or Melchior Newsidler
Benedictus Thiselius?
Joachim Heller?
Johan Groi
C.K.
Jacob Lossius
Heinrich Steuccius?
Valerius Otto
Tobias Kün or Gregorio Huet
Fascius?
John Dowland?
Gregorio Huet?
Matthäus Reymann?
Johann Klipstein
Ferber
Spacig?
Johann H. Schein
John Jenkins?
M. Tuartnes
Jean Boyer?
Johann Klipstein?
Victor de Montbuisson?
Horatio Scandelli
Valentin Haussmann?
Elizabeth von Hessen?
Jacob Schultes
V.H.S.
MNS
Giovanni B. Riccio
Jacob Handl
Joachim Decker
Nicolaus Selneccer?
Giovanni Maria de Rosso?
M. Gregorio?
Thomas Stoltzer
Johann Walter
Paul Hofhaimer
Marco dallAquila?
Marco dallAquila or Francesco da Milano
Bernardo N.
Guillaume Morlaye or Jean Paul Paladin
Hans D. von Mentz
Le Hugier
Johann H. Herwart
Francesco Corteccia
Antonio Rotta
Johann M. Götz
Pierre Sandrin
Johann G. Brengger
C. Toldius?
Francesco di Parise
MNK
HSM
B.
Giovanni A. Terzi?
Florentio Maschera
Giovanni Ferretti
Hofstetter?
Hieronymus Faber
Sertus Kergel?
Conrad Newsidler?
C. Toldius
