Piece,Type,Key,Difficulty,Date,Ensemble
,air de cour,Cm,3.0,1615,7-course voice
,air de cour,GM,3.0,1615,9-course voice
,air de cour,Cm,3.0,1615,10-course voice
,air de cour,Fm,3.0,1615,7-course voice
,air de cour,EbM,3.0,1615,6-course voice
,air de cour ballet,Cm,3.0,1615,7-course voice
,air de cour,Am,3.0,1615,6-course voice
,air de cour,Fm,3.0,1615,7-course voice
,air de cour ballet,Fm,3.0,1615,10-course voice
,air de cour,FM,3.0,1615,10-course voice
,air de cour,Fm,3.0,1615,8-course voice
,air de cour dialogue,FM,4.0,1615,10-course voice
,air de cour,Fm,3.0,1615,7-course voice
,air de cour,Fm,3.0,1615,8-course voice
,air de cour,EbM,3.0,1615,8-course voice
,air de cour,Fm,3.0,1615,7-course voice
,psalm,Fm,3.0,1615,7-course voice
,air de cour ballet,EbM,3.0,1615,10-course voice
,air de cour ballet,Fm,3.0,1615,10-course voice
,air de cour recitative ballet,Cm,3.0,1615,10-course voice
,air de cour ballet,Cm,3.0,1615,8-course voice
,air de cour ballet,CM,3.0,1615,6-course voice
,air de cour ballet,BbM,3.0,1615,7-course voice
,air de cour ballet,BbM,3.0,1615,7-course voice
,air de cour ballet,Gm,3.0,1615,7-course voice
,air de cour ballet,Gm,3.0,1615,7-course voice
,air de cour ballet,Am,3.0,1615,6-course voice
,air de cour ballet,BbM,3.0,1615,7-course voice
,air de cour ballet,EbM,3.0,1615,8-course voice
,Air de cour,Fm,3.0,1622,7-course voice
,Air de cour,AbM,3.0,1622,8-course voice
,Air de cour,Gm,3.0,1622,7-course voice
,Air de cour,EbM,3.0,1622,8-course voice
,Air de cour,Cm,3.0,1622,9-course voice
,Air de cour,Cm,3.0,1622,8-course voice
,Air de cour,BbM,3.0,1622,7-course voice
,Air de cour,Gm,3.0,1622,voice 6-course
,Air de cour,Cm,3.0,1622,10-course voice
,Air de cour,Fm,3.0,1622,8-course voice
,Air de cour,BbM,3.0,1622,7-course voice
,Air de cour,Fm,3.0,1622,8-course voice
,Air de cour,Cm,3.0,1622,10-course voice
,Air de cour,Gm,3.0,1622,7-course voice
,Air de cour,Am,3.0,1622,6-course voice
,Air de cour,Gm,3.0,1622,7-course voice
,Air de cour,Gm,3.0,1622,6-course voice
,Air de cour,Am,3.0,1622,6-course voice
,Air de cour,Fm,3.0,1622,7-course voice
,Air de cour,Cm,3.0,1622,10-course voice
,Air de cour,Fm,3.0,1622,10-course voice
,Air de cour,Fm,3.0,1622,8-course voice
,Air de cour,Am,3.0,1622,10-course voice
,Air de cour,Fm,3.0,1622,10-course voice
,Air de cour,FM,3.0,1622,9-course voice
,Air de cour,Fm,3.0,1622,8-course voice
,Air de cour,Cm,3.0,1622,8-course voice
,Air de cour,FM,3.0,1622,10-course voice
,Air de cour,Fm,3.0,1622,10-course voice
,Air de cour,FM,3.0,1622,10-course voice
,Air de cour,Fm,3.0,1622,10-course voice
,Air de cour,CM,3.0,1622,10-course voice
,Air de cour,Gm,3.0,1622,7-course voice
,Air de cour,BbM,3.0,1622,7-course voice
,Air de cour,CM,3.0,1622,8-course voice
,Air de cour,Fm,3.0,1622,7-course voice
,Air de cour,EbM,3.0,1622,8-course voice
,Air de cour,Gm,3.0,1622,7-course voice
,Air de cour,BbM,3.0,1622,7-course voice
,Air de cour,Gm,3.0,1622,7-course voice
,Air de cour,BbM,3.0,1622,7-course voice
,Air de cour,Cm,3.0,1622,10-course voice
,Air de cour,Fm,3.0,1622,7-course voice
,Air de cour,FM,3.0,1622,10-course voice
,Air de cour,Fm,3.0,1622,10-course voice
,Air de cour,Fm,3.0,1622,7-course voice
,Air de cour,Fm,3.0,1622,7-course voice
,Air de cour,Fm,3.0,1622,8-course voice
,Air de cour,Fm,3.0,1622,7-course voice
,Air de cour,Fm,3.0,1622,10-course voice
,Air de cour,FM,3.0,1622,10-course voice
,Air de cour,Fm,3.0,1622,10-course voice
,psalm,FM,3.0,1622,10-course voice
,psalm,BbM,3.0,1622,9-course voice
,Air de cour,Fm,3.0,1622,8-course voice
,Air de cour,BbM,3.0,1622,6-course soprano
,Air de cour,Cm,3.0,1622,7-course voice
,Air de cour,BbM,3.0,1622,9-course voice
,Air de cour,FM,3.0,1622,7-course voice
,Air de cour theater,BbM,3.0,1622,10-course voice
,Air de cour,Gm,3.0,1622,6-course voice
,Air de cour,CM,3.0,1622,10-course voice
,Air de cour,Cm,3.0,1622,6-course voice
,Air de cour,CM,3.0,1622,7-course tenor
,passamezzo milanese,GM,3.0,1568,6-course
,passamezzo milanese,DM,3.0,1568,6-course
,passamezzo milanese,CM,4.0,1568,6-course
,passamezzo milanese,FM,4.0,1568,6-course
,romanesca,Cm,4.0,1568,6-course
,romanesca rotta,Cm,4.0,1568,6-course
,vocal intabulation madrigal,Cm,3.0,1568,6-course
,vocal intabulation aria,FM,3.0,1568,6-course
,vocal intabulation,Cm,3.0,1568,6-course
,vocal intabulation aria,EbM,3.0,1568,6-course
,pavane galliard,GM,3.0,1568,6-course
,pavane galliard,Gm,3.0,1568,6-course
,passamezzo passamezzo-harmony,CM,4.0,1568,6-course
,passamezzo galliard,CM,4.0,1568,6-course
,pavane galliard,BbM,4.0,1568,6-course
,moresca,FM,3.0,1568,6-course
,dance,Cm,3.0,1568,6-course
,vocal intabulation napolitana,Cm DM GM AM,3.0,1568,6-course
,vocal intabulation canzona,Dm,3.0,1568,6-course
,vocal intabulation canzona,Cm,3.0,1568,6-course
,vocal intabulation canzona,Dm,3.0,1568,6-course
,vocal intabulation canzona,Dm,3.0,1568,6-course
,vocal intabulation canzona,Bbm,3.0,1568,6-course
,vocal intabulation canzona,BM,3.0,1568,6-course
,vocal intabulation canzona,Bbm,3.0,1568,6-course
,vocal intabulation canzona,Bbm,3.0,1568,6-course
,vocal intabulation canzona,Cm,3.0,1568,6-course
,vocal intabulation canzona,Cm,3.0,1568,6-course
,vocal intabulation madrigal,Dm,4.0,1568,6-course
,vocal intabulation madrigal,FM,3.0,1568,6-course
,vocal intabulation madrigal,Am,3.0,1568,6-course
,vocal intabulation madrigal,Am,3.0,1568,6-course
,vocal intabulation chanson,GM,4.0,1568,6-course
,vocal intabulation chanson,GM,4.0,1568,6-course
,vocal intabulation chanson,GM,3.0,1568,6-course
,vocal intabulation chanson,FM,3.0,1568,6-course
,fantasia,FM,3.0,1568,6-course
,fantasia,FM,3.0,1568,6-course
,fantasia,Gm,3.0,1568,6-course
,fantasia,FM,3.0,1568,6-course
,fantasia,FM,3.0,1568,7-course
,fantasia,Am,3.0,1568,6-course
,fantasia,EbM,3.0,1568,6-course
,fantasia,FM,3.0,1568,6-course
,fantasia,Cm,3.0,1568,6-course
,fantasia,Cm,3.0,1568,6-course
,fantasia,EbM,3.0,1568,6-course
38. Fantasy 1,fantasia,GM,3.0,1603,6-course
39. Fantasy 2,fantasia,GM,3.0,1603,8-course
40. Fantasy 3,fantasia,GM,3.0,1603,6-course
41. Fantasy 4,fantasia,Dm,4.0,1603,6-course
42. Fantasy 5 on Lachrimae,fantasia,Gm,4.0,1603,6-course
43. Fantasy 6,fantasia,CM,3.0,1603,8-course
,fantasia,Cm,4.0,1603,6-course
45. Fantasy 8,fantasia,Gm,3.0,1603,6-course
46. Fantasy 9,fantasia,FM,3.0,1603,7-course
47. Fantasy 10,fantasia,FM,3.0,1603,7-course
48. Fantasy 11,fantasia,FM,4.0,1603,7-course
49. Fantasy 12,fantasia,FM,2.0,1603,7-course
50. Fantasy 13,fantasia,Fm,4.0,1603,7-course
51. Fantasy 14,fantasia,FM,3.0,1603,7-course
52. Fantasy 15,fantasia,FM,4.0,1603,7-course
53. Fantasy 16,fantasia,Fm,3.0,1603,6-course
54. Fantasy 17,fantasia,Fm,3.0,1603,7-course
55. Fantasy 18,fantasia,DM,3.0,1603,7-course
56. Fantasy 19,fantasia,GM,4.0,1603,6-course
57. Fantasy 20,fantasia,Am,4.0,1603,6-course
58. Fantasy 21 - Fuga,fantasia,Dm,4.0,1603,7-course
,fantasia,Dm,3.0,1603,6-course
60. Fantasy 23,fantasia,Am,3.0,1603,8-course
61. Fantasy 24,fantasia,Am,3.0,1603,8-course
62. Fantasy 25,fantasia,Am,4.0,1603,8-course
63. Fantasy 26,fantasia,Dm,5.0,1603,8-course
64. Fantasy 27,fantasia,Dm,3.0,1603,6-course
65. Fantasy 28,fantasia,Am,3.0,1603,9-course
66. Diminution of the above,fantasia,FM,4.0,1603,8-course
67. Fantasy 30,fantasia,BbM,3.0,1603,6-course
68. Fantasy 31,fantasia,Bbm,3.0,1603,7-course
69. Fantasy 32,fantasia,BbM,3.0,1603,6-course
70. Fantasy 33,fantasia,Bbm,3.0,1603,6-course
71. Fantasy 34,fantasia,BbM,4.0,1603,6-course
72. Fantasy 35,fantasia,Cm,3.0,1603,6-course
73. Fantasy 36,fantasia,CM,3.0,1603,6-course
74. Fantasy 37,fantasia,CM,3.0,1603,6-course
75. Fantasy 38,fantasia,Cm,3.0,1603,6-course
76. Finale, finale,Cm,3.0,1603,6-course
77. Diminution,fantasia,Am,3.0,1603,6-course
86. Mentrio campai contento,vocal intabulation,Cm,3.0,1603,7-course
93. Villanella 1,villanella villanella-light,Fm,3.0,1603,7-course
94. Villanella 2,villanella villanella-light,FM,4.0,1603,7-course
95. Villanella 3,villanella villanella-light,FM,4.0,1603,7-course
96. Villanella 4,villanella villanella-light,FM,4.0,1603,7-course
97. Villanella 5,villanella villanella-light,Dm,4.0,1603,8-course
98. Villanella 6,villanella villanella-light,Bbm,3.0,1603,6-course
99. Occhi dellalma,villanella villanella-light,Gm,2.0,1603,soprano 6-course
99. Occhi dellalma,villanella villanella-light,Gm,2.0,1603,soprano 6-course
100. Donna se lo mio cuore,villanella villanella-light,Gm,2.0,1603,soprano 6-course
100. Donna se lo mio cuore,villanella villanella-light,Gm,2.0,1603,soprano 6-course
101. Guardatamante,villanella villanella-light,Gm,2.0,1603,soprano 7-course
101. Guardatamante,villanella villanella-light,Gm,2.0,1603,soprano 7-course
102. Tanto vama questalma,villanella villanella-light,Gm,2.0,1603,soprano 6-course
102. Tanto vama questalma,villanella villanella-light,Gm,2.0,1603,soprano 6-course
103. Milla tue trezze doro,villanella villanella-light,CM,2.0,1603,soprano 6-course a lute
103. Milla tue trezze d oro,villanella villanella-light,BbM,2.0,1603,soprano 6-course
103. Milla tue trezze doro,villanella villanella-light,BbM,2.0,1603,soprano 6-course
104. Ahi chi tien lo mio cuore,villanella villanella-light,Gm,2.0,1603,soprano 6-course
104. Ahi chi tien lo mio cuore,villanella villanella-light,Gm,2.0,1603,soprano 6-course
105. Vo cercandil mio cor,villanella villanella-light,Dm,2.0,1603,soprano 6-course
105. Vo cercandil mio cor,villanella villanella-light,Dm,2.0,1603,soprano 6-course
106. Quando dal primamore,villanella villanella-light,Am,2.0,1603,soprano 6-course a lute
106. Quando dal primamore,villanella villanella-light,Cm,2.0,1603,alto 6-course
106. Quando dal primamore,villanella villanella-light,Cm,2.0,1603,soprano 6-course
107. Non è cosa,villanella villanella-light,FM,2.0,1603,alto 6-course a lute
107. Non è cosa,villanella villanella-light,EbM,2.0,1603,alto 6-course
107. Non è cosa,villanella villanella-light,EbM,2.0,1603,alto 6-course
108. Male per me,villanella villanella-light,FM,3.0,1603,alto 6-course a lute
108. Male per me,villanella villanella-light,EbM,3.0,1603,alto 6-course
108. Male per me,villanella villanella-light,EbM,3.0,1603,alto 6-course
109. Fuggierò Fuggierò Fuggierò,villanella villanella-light,CM,3.0,1603,bass alto soprano 6-course
109. Fuggierò Fuggierò Fuggierò,villanella villanella-light,CM,3.0,1603,bass alto soprano 6-course
109. Fuggierò Fuggierò Fuggierò,villanella villanella-light,CM,3.0,1603,bass alto soprano 6-course
109. Fuggierò Fuggierò Fuggierò,villanella villanella-light,CM,3.0,1603,bass alto soprano 6-course
110. Ardognhor il cor,villanella villanella-light,GM,2.0,1603,bass alto soprano 6-course
110. Ardognhor il cor,villanella villanella-light,GM,2.0,1603,bass alto soprano 6-course
110. Ardognhor il cor,villanella villanella-light,GM,2.0,1603,bass alto soprano 6-course
110. Ardognhor il cor,villanella villanella-light,GM,2.0,1603,bass alto soprano 6-course
111. Ahi me che col fuggire,villanella villanella-light,Am,2.0,1603,bass alto soprano 6-course
111. Ahi me che col fuggire,villanella villanella-light,Am,2.0,1603,bass alto soprano 6-course
111. Ahi me che col fuggire,villanella villanella-light,Am,2.0,1603,bass alto soprano 6-course
111. Ahi me che col fuggire,villanella villanella-light,Am,2.0,1603,bass alto soprano 6-course
112. Andar vidi,villanella villanella-light,GM,2.0,1603,bass alto soprano 6-course
112. Andar vidi,villanella villanella-light,GM,2.0,1603,bass alto soprano 6-course
112. Andar vidi,villanella villanella-light,GM,2.0,1603,bass alto soprano 6-course
112. Andar vidi,villanella villanella-light,GM,2.0,1603,bass alto soprano 6-course
113. Lasso quandhavran fin,villanella villanella-light,GM,2.0,1603,bass alto soprano 6-course
113. Lasso quandhavran fin,villanella villanella-light,GM,2.0,1603,bass alto soprano 6-course
113. Lasso quandhavran fin,villanella villanella-light,GM,2.0,1603,bass alto soprano 6-course
113. Lasso quandhavran fin,villanella villanella-light,GM,2.0,1603,bass alto soprano 6-course
114. Voi sete la mia stella,villanella villanella-light,GM,2.0,1603,bass alto soprano 6-course
114. Voi sete la mia stella,villanella villanella-light,CM,2.0,1603,bass alto soprano 6-course
114. Voi sete la mia stella,villanella villanella-light,GM,2.0,1603,bass alto soprano 6-course
114. Voi sete la mia stella,villanella villanella-light,CM,2.0,1603,bass alto soprano 6-course
115. Dolce vite amata,villanella villanella-light,GM,2.0,1603,bass alto soprano 6-course
115. Dolce vite amata,villanella villanella-light,GM,2.0,1603,bass alto soprano 6-course
115. Dolce vite amata,villanella villanella-light,GM,2.0,1603,bass alto soprano 6-course
115. Dolce vite amata,villanella villanella-light,GM,2.0,1603,bass alto soprano 6-course
116. Mi parto. Ahi sorte!,villanella villanella-light,Am,2.0,1603,bass alto soprano 6-course a lute
116. Mi parto. Ahi sorte!,villanella villanella-light,Am,2.0,1603,bass alto soprano 6-course a lute
116. Mi parto. Ahi sorte!,villanella villanella-light,Am,2.0,1603,bass alto soprano 6-course a lute
116. Mi parto. Ahi sorte!,villanella villanella-light,Gm,2.0,1603,bass alto soprano 6-course
116. Mi parto. Ahi sorte!,villanella villanella-light,Gm,2.0,1603,bass alto soprano 6-course
116. Mi parto. Ahi sorte!,villanella villanella-light,Am,2.0,1603,bass alto soprano 6-course a lute
116. Mi parto. Ahi sorte!,villanella villanella-light,Gm,2.0,1603,bass alto soprano 6-course
117. Dicemi la mia stella,villanella villanella-light,CM,2.0,1603,bass alto soprano 6-course a lute
117. Dicemi la mia stella,villanella villanella-light,CM,2.0,1603,bass alto soprano 6-course a lute
117. Dicemi la mia stella,villanella villanella-light,CM,2.0,1603,bass alto soprano 6-course a lute
117. Dicemi la mia stella,villanella villanella-light,BbM,2.0,1603,bass alto soprano 6-course
117. Dicemi la mia stella,villanella villanella-light,BbM,2.0,1603,bass alto soprano 6-course
117. Dicemi la mia stella,villanella villanella-light,BbM,2.0,1603,bass alto soprano 6-course
117. Dicemi la mia stella,villanella villanella-light,BbM,2.0,1603,bass alto soprano 6-course
118. Non posso più soffrire,villanella villanella-light,GM,2.0,1603,bass alto soprano 6-course
118. Non posso più soffrire,villanella villanella-light,GM,2.0,1603,bass alto soprano 6-course
118. Non posso più soffrire,villanella villanella-light,GM,2.0,1603,bass alto soprano 6-course
118. Non posso più soffrire,villanella villanella-light,GM,2.0,1603,bass alto soprano 6-course
Susanne ung jour,vocal intabulation,Dm,4.0,1603,8-course
129. Bonjour mon coeur,vocal intabulation,DM,4.0,1603,6-course
139. Beaux yeux qui voyes,air de cour lute song,FM,3.0,1603,7-course alto
140. Aminte un jour,air de cour lute song,FM,3.0,1603,7-course soprano
140. Aminte un jour,air de cour lute song,FM,3.0,1603,7-course soprano
151. Si je puis une fois,air de cour lute song,BbM,3.0,1603,7-course soprano
155. Rosette pour un peu dabsence,air de cour lute song,Gm,2.0,1603,6-course soprano
158. Arme arme,air de cour lute song,GM,2.0,1603,6-course soprano
171. Passamezzo 1,passamezzo passamezzo-harmony,Gm,4.0,1603,6-course
172. Passamezzo 2,passamezzo passamezzo-harmony,Gm,3.0,1603,7-course
173. Passamezzo 3,passamezzo passamezzo-harmony,Gm,4.0,1603,8-course
174. Passamezzo 4,passamezzo passamezzo-harmony,GM,4.0,1603,8-course
175. Passamezzo 5,passamezzo passamezzo-harmony,Fm,5.0,1603,8-course
176. Passamezzo 6,passamezzo passamezzo-harmony,FM,4.0,1603,8-course
177. Passamezzo 7,passamezzo passamezzo-harmony,Dm,3.0,1603,8-course
178. Passamezzo 8,passamezzo passamezzo-harmony,DM,4.0,1603,8-course
179. Passamezzo 9,passamezzo passamezzo-harmony,EbM,4.0,1603,8-course
180. Passamezzo 10,passamezzo passamezzo-harmony,CM,3.0,1603,9-course
181. Passamezzo 11,passamezzo passamezzo-harmony,Cm,4.0,1603,8-course
182. Passamezzo 12,passamezzo passamezzo-harmony,Am,5.0,1603,6-course
183. Passamezzo 13,passamezzo passamezzo-harmony,Bbm,5.0,1603,7-course
184. Passamezzo 14,passamezzo passamezzo-harmony,Bbm,4.0,1603,7-course
185. Passamezzo 15,passamezzo passamezzo-harmony,BbM,4.0,1603,7-course
187. Bergamasco,bergamasca,FM,4.0,1603,7-course
194. Galliard 7 - Dolorata,galliard,GM,3.0,1603,6-course
220. Galliard 33,galliard,FM,3.0,1603,7-course
322. Ballet 12,ballet,FM,3.0,1603,7-course f lute
323. Ballet 13,ballet,FM,2.0,1603,6-course f lute
326. Ballet 14,ballet,Fm,3.0,1603,7-course f lute
353. Courante 26,courante coranto,EbM,3.0,1603,8-course
364. Volte 7,volta,Fm,3.0,1603,7-course
367. Volte 10,volta,Fm,3.0,1603,8-course
368. Volte 11,volta,Fm,3.0,1603,7-course
395. Lamentation,lament,Bbm,3.0,1603,8-course
395. Lamentation,lament,Bbm,3.0,1603,7-course
396. Passemezzo 16,passamezzo passamezzo-harmony,Bbm,3.0,1603,7-course
402. Fantasy 39,fantasia,GM,6.0,1603,6-course
403. Fantasy 40,fantasia,Dm,4.0,1603,7-course
404. Fantasy 41,fantasia,Cm,4.0,1603,7-course
,ricercar,FM,3.0,1546,6-course
,ricercar,GM,3.0,1546,6-course
,ricercar,Dm,3.0,1546,6-course
,ricercar,Cm,3.0,1546,6-course
,vocal intabulation madrigal,Dm,3.0,1546,6-course
,vocal intabulation chanson,CM,3.0,1546,6-course
,vocal intabulation madrigal,Gm,3.0,1546,6-course
,passamezzo antico,Cm,3.0,1546,6-course
,pavane,Cm,2.0,1546,6-course
,galliard,CM,4.0,1546,6-course
,dance,Cm,3.0,1546,6-course
,popular theme,Cm,3.0,1546,6-course
,galliard,CM,2.0,1546,6-course
,motet religious,Gm,4.0,1546,6-course
,jig,CM,3.0,1546,6-course
,vocal intabulation chanson,Cm,4.0,1546,6-course
,ricercar,Dm,3.0,1546,6-course
,vocal intabulation chanson,Dm,3.0,1546,6-course
,vocal intabulation chanson,Gm,4.0,1546,6-course
,vocal intabulation chanson,FM,3.0,1546,6-course
,ricercar,Gm,3.0,1546,6-course
,dance,CM,3.0,1546,6-course
,vocal intabulation madrigal,Gm,3.0,1546,6-course
,vocal intabulation chanson,FM,3.0,1546,6-course
,vocal intabulation madrigal,FM,4.0,1546,6-course
,fantasia,Am,3.0,1547,6-course
,vocal intabulation chanson,Gm,3.0,1547,6-course
,vocal intabulation chanson,Gm,4.0,1547,6-course
,vocal intabulation chanson,FM,3.0,1547,6-course
,vocal intabulation chanson,Gm,3.0,1547,6-course
,vocal intabulation chanson,Gm,3.0,1547,6-course
,vocal intabulation chanson,FM,3.0,1547,6-course
,vocal intabulation psalm,Dm,3.0,1547,6-course
,vocal intabulation psalm,Gm,3.0,1547,6-course
,vocal intabulation psalm,FM,3.0,1547,6-course
,vocal intabulation basse dance,GM,3.0,1547,6-course
,basse dance,Fm,3.0,1547,6-course
,pavane,Gm,3.0,1547,6-course
,pavane popular theme,FM,3.0,1547,6-course
,galliard,Gm,3.0,1547,6-course
,galliard,FM,3.0,1547,6-course
,pavane,EbM,3.0,1548,6-course
,pavane,EbM,3.0,1548,6-course
,pavane,EbM,3.0,1548,6-course
,pavane,EbM,3.0,1548,6-course
,pavane,EbM,3.0,1548,6-course
,fantasia,Gm,3.0,1548,6-course
,fantasia,FM,3.0,1548,6-course
,fantasia,FM,3.0,1548,6-course
,fantasia,FM,3.0,1548,6-course
,fantasia,FM,3.0,1548,6-course
,fantasia,FM,3.0,1548,6-course
,fantasia,FM,2.0,1548,6-course
,fantasia,Gm,2.0,1548,6-course
,fantasia,Gm,2.0,1548,6-course
, exercise,Gm,3.0,1548,6-course
,fantasia,Cm,3.0,1548,6-course
,fantasia,FM,3.0,1548,6-course
,fantasia,Fm,3.0,1548,6-course
,chanson vocal intabulation,Gm,4.0,1548,6-course
,chanson vocal intabulation,Gm,3.0,1548,6-course
,chanson vocal intabulation,Gm,4.0,1548,6-course
,chanson vocal intabulation,GM,4.0,1548,6-course
,chanson vocal intabulation,FM,3.0,1548,6-course
,vocal intabulation religious christmas,Fm,4.0,1548,6-course
,vocal intabulation religious christmas,EbM,4.0,1548,6-course
,pavane,EbM,3.0,1563,6-course
,saltarello,EbM,3.0,1563,6-course
,saltarello,EbM,3.0,1563,6-course
,saltarello,EbM,3.0,1563,6-course
,pavane,CM,3.0,1563,6-course
,saltarello,CM,3.0,1563,6-course
,saltarello,CM,3.0,1563,6-course
,saltarello,CM,3.0,1563,6-course
,pavane,Fm,3.0,1563,6-course
,saltarello,Fm,3.0,1563,6-course
,saltarello,Fm,3.0,1563,6-course
,saltarello,Fm,3.0,1563,6-course
,pavane,GM,3.0,1563,6-course
,saltarello,GM,3.0,1563,6-course
,saltarello,GM,3.0,1563,6-course
,saltarello,GM,3.0,1563,6-course
,fantasia,FM,3.0,1563,6-course
,chanson vocal intabulation,Gm,3.0,1563,6-course
,chanson vocal intabulation,Gm,3.0,1563,6-course
,chanson vocal intabulation,Gm,3.0,1563,6-course
,chanson vocal intabulation,GM,3.0,1563,6-course
,chanson vocal intabulation,FM,3.0,1563,6-course
,christmas vocal intabulation,Fm,4.0,1563,6-course
,soneto frottola,BbM,3.0,1509,6-course alto
,canzona frottola,Fm,3.0,1509,6-course alto
,canzona frottola,Fm,3.0,1509,6-course alto
,canzona frottola,FM,3.0,1509,6-course alto
,soneto frottola,BbM,3.0,1509,6-course alto
,soneto frottola,Gm,3.0,1509,6-course soprano
,soneto frottola,Fm,3.0,1509,6-course alto
,canzonetta canzonetta-light frottola,FM,3.0,1509,6-course soprano
Recercar primo,ricercar,Cm,2.0,1509,6-course
,frottola barzelletta,Fm,3.0,1511,6-course soprano
,frottola barzelletta,Fm,3.0,1511,6-course soprano
,frottola barzelletta,Cm,3.0,1511,6-course soprano
,frottola soneto,BbM,3.0,1511,6-course alto
,lute song barzelletta,Fm,3.0,1511,6-course soprano
,frottola soneto,Cm,3.0,1511,6-course soprano
Una lauda processionale,lute song,AM,2.0,1511,6-course soprano
Bravely decked come forth bright day,lute song religious,CM,3.0,1613,6-course bass tenor alto soprano
Bravely decked come forth bright day,lute song religious,CM,3.0,1613,6-course bass tenor alto soprano
Bravely decked come forth bright day,lute song religious,CM,3.0,1613,6-course bass tenor alto soprano
The peaceful western wind,lute song,GM,2.0,1613,6-course bass tenor soprano
Pined I am and like to die,lute song,CM,2.0,1613,7-course bass tenor soprano
Shall I come sweet love?,lute song,Fm,2.0,1617,7-course soprano
Shall I come sweet love?,lute song,Fm,2.0,1617,7-course soprano
Follow thy fair Sun,lute song,Gm,2.0,1601,6-course alto
Follow thy fair sun (Dm),lute song,Dm,3.0,1601,8-course tenor
Follow thy fair sun (Dm),lute song,Dm,3.0,1601,8-course tenor
Follow thy fair Sun,lute song,Gm,2.0,1601,6-course alto
When to her lute Corinna sings (Dm),lute song,Dm,3.0,1601,8-course tenor
When to her lute Corinna sings,lute song,Fm,3.0,1601,8-course f lute alto
When to her lute Corinna sings,lute song,Gm,3.0,1601,8-course soprano
Turn back you wanton flyer,lute song,Gm,2.0,1601,8-course soprano
It fell on a summers day (F),lute song,FM,2.0,1601,7-course alto
It fell on a summers day,lute song,GM,2.0,1601,8-course soprano
,fantasia,GM,3.0,1536,6-course
,fantasia,GM,3.0,1536,6-course
,fantasia,GM,4.0,1536,6-course
,pavane,GM,3.0,1536,6-course
,saltarello,CM,3.0,1536,6-course
Fantasy 20,fantasia,GM,3.0,1536,6-course
,pavane,GM,3.0,1536,6-course
,saltarello,GM,3.0,1536,6-course
,saltarello toccata,GM,3.0,1536,6-course
,pavane,GM,3.0,1536,6-course
,saltarello,GM,3.0,1536,6-course
,saltarello,GM,4.0,1536,6-course
,toccata,GM,3.0,1536,6-course
,fantasia,Gm,3.0,1536,6-course
,fantasia,Gm,4.0,1536,6-course
,fantasia,Gm,3.0,1536,6-course
,fantasia,Gm,4.0,1536,6-course
,fantasia,GM,3.0,1536,6-course
,pavane,Gm,3.0,1536,6-course
,saltarello,Gm,3.0,1536,6-course
,vocal intabulation saltarello,Gm,3.0,1536,6-course
,pavane,Gm,3.0,1536,6-course
,saltarello,FM,3.0,1536,6-course
,saltarello,Gm,3.0,1536,6-course
,pavane,FM,4.0,1536,6-course
,saltarello,FM,3.0,1536,6-course
,saltarello,FM,3.0,1536,6-course
,toccata,Gm,3.0,1536,6-course
,toccata,Gm,2.0,1536,6-course
,fantasia,FM,3.0,1536,6-course
,fantasia,FM,3.0,1536,6-course
,fantasia,FM,3.0,1536,6-course
,fantasia,Fm,4.0,1536,6-course
,fantasia,Fm,4.0,1536,6-course
,exercise,GM,2.0,1575,6-course
,vocal intabulation popular theme,Fm,2.0,1575,6-course
,passamezzo antico saltarello,Cm,3.0,1575,6-course
,passamezzo antico saltarello,Gm,3.0,1575,6-course
,dance nachtanz,Gm,3.0,1575,6-course
,passamezzo moderno saltarello,FM,3.0,1575,6-course
,vocal intabulation lied dance nachtanz,CM,3.0,1575,6-course
,passamezzo antico saltarello,Fm,3.0,1575,6-course
,passamezzo moderno saltarello,CM,3.0,1575,6-course
,hoff tanz nachtanz,CM,3.0,1575,6-course
,vocal intabulation dance nachtanz,FM,3.0,1575,6-course
,vocal intabulation popular theme,Cm,2.0,1575,6-course
,vocal intabulation popular theme,Gm,2.0,1575,6-course
,galliard,FM,2.0,1575,6-course
,vocal intabulation lied,FM,3.0,1575,6-course
,vocal intabulation christmas,FM,2.0,1575,6-course
,dance triple,Fm,2.0,1575,6-course
,passamezzo passamezzo-harmony,FM,3.0,1575,6-course
,dance nachtanz,CM,3.0,1575,6-course
,vocal intabulation psalm hymn,FM,2.0,1575,6-course
,vocal intabulation hymn,Gm,2.0,1575,6-course
,popular theme dance,Gm,2.0,1575,6-course
,vocal intabulation chanson dance saltarello,GM,3.0,1575,6-course
,passamezzo antico saltarello,Gm,3.0,1575,6-course
,preamble,GM,4.0,c.1575,6-course
,preamble,FM,3.0,c.1575,6-course
,preamble,Gm,3.0,c.1575,6-course
,preamble,Gm,3.0,c.1575,6-course
,preamble,Cm,3.0,c.1575,6-course
,hymn vocal intabulation,GM,3.0,c.1575,6-course
,exercise,GM,2.0,c.1575,6-course
,vocal intabulation chanson,FM,3.0,c.1520,6-course
,prelude,GM,2.0,c.1520,6-course
,vocal intabulation chanson,BbM,2.0,c.1520,6-course
,preamble,Gm,3.0,1591,6-course
,prelude,Gm,3.0,1591,6-course
,preamble,GM,3.0,1591,6-course
,prelude,GM,3.0,1591,6-course
,preamble,GM,3.0,1591,6-course
,prelude,Gm,3.0,1591,6-course
,prelude,Cm,3.0,1591,7-course
