Piece,Type,Key,Difficulty,Date,Ensemble
Mala se nea,vocal intabulation,GM,2.0,1548,6-course
Noe noe noe puer nobis nascitur,vocal intabulation religious,EbM,3.0,1548,6-course
Pavane,pavane,EbM,3.0,1548,6-course
Pavane,pavane,GM,2.0,1536,6-course
Pavane,pavane,DM,3.0,1536,6-course
Saltarello 2,saltarello,CM,3.0,1548,6-course
A Pavan,pavane,Fm,5.0,c.1610,6-course
Ich bin eine Blume zu Saron,cantata,AM,4.0,1700,bass violin 1:violin violin 2:violin violone archlute
Mein Herz ist bereit,Cantata,FM,2.0,1696,bass violin cello archlute
Mein Herz ist bereit,Cantata,FM,2.0,1696,bass violin cello archlute
Christe Redemptor à 4,vocal intabulation,Dm,3.0,1611,8-course
,hymn vocal intabulation,Dm,3.0,1611,6-course
,motet vocal intabulation religious,CM,3.0,1611,6-course
Pavane Bray,pavane,FM,5.0,1600,7-course
,motet vocal intabulation religious,Gm,3.0,1611,6-course
Fantasy à 4,fantasia,Cm,3.0,1611,treble viol 8-course
Fantasy à 4,fantasia,Cm,3.0,1611,treble viol 8-course
Fantasy à 4,fantasia,Cm,3.0,1611,7-course
Fantasy à 4,fantasia,Cm,3.0,1611,treble viol 8-course
Miserere à 4,vocal intabulation religious,Gm,3.0,1575,archlute
Tiento 1,tiento,Dm,2.0,1578,6-course
Amarilli mia bella,lute song,Gm,3.0,1610,8-course 6-course bass viol alto
Amarilli mia bella,lute song,Gm,3.0,1610,8-course 6-course bass viol alto
Amarilli mia bella,lute song,Gm,3.0,1610,8-course 6-course bass viol alto
Amarilli mia bella,lute song,Gm,3.0,1610,8-course 6-course bass viol alto
Amarilli mia bella,lute song,Gm,3.0,1610,8-course 6-course bass viol alto
Amarilli mia bella,lute song,Gm,3.0,1610,8-course 6-course bass viol alto
Non hal ciel cotanti lumi,lute song,Gm,3.0,1614,archlute soprano
Pien damoroso affetto,lute song,FM,3.0,1614,archlute alto
Come raggio del sol,aria,Dm,3.0,1707,8-course alto
Come raggio del sol,aria,Dm,3.0,1707,8-course alto
Come raggio del sol,aria,Gm,3.0,1707,8-course soprano
Come raggio del sol,aria,Gm,3.0,1707,8-course soprano
,madrigal,CM,3.0,1504,bass tenor alto 2:alto alto 1:alto
,madrigal,BbM,3.0,1707,bass tenor alto 2:alto alto 1:alto
,lute song,BbM,3.0,1707,8-course alto
,lute song,BbM,3.0,1707,8-course alto
La non vol perche non me ama,lute song,Am,2.0,1518,6-course alto
La non vol perche non me ama,lute song,Am,2.0,1518,6-course alto
La non vol perche non me ama,lute song,Dm,2.0,1518,8-course tenor
La non vol perche non me ama,lute song,Dm,2.0,1518,8-course tenor
La non vol perche non me ama,lute song,Em,2.0,1518,8-course tenor
La non vol perche non me ama,lute song,Em,2.0,1518,8-course alto
La non vol perche non me ama,lute song,Em,2.0,1518,6-course e lute tenor
La non vol perche non me ama,lute song,Em,2.0,1518,6-course e lute alto
Se amor non è,lute song,Dm,2.0,1518,6-course e lute alto
Se amor non è,lute song,Dm,2.0,1518,6-course e lute alto
Se amor non è,lute song,Dm,2.0,1518,6-course alto
Se amor non è,lute song,Dm,2.0,1513,6-course alto
Mort ou mercy,vocal intabulation,Gm,2.0,1477,6-course
Balletto,balletto balletto-theater,Gm,3.0,1581,6-course
Balletto,balletto balletto-theater,FM,2.0,1581,6-course
Balletto,balletto balletto-theater,CM,2.0,1581,6-course
Balletto,balletto balletto-theater,FM,2.0,1581,6-course
Balletto,balletto balletto-theater,AbM,2.0,1581,6-course
Balletto,pavane pavaniglia,Gm,2.0,1581,6-course
Balletto,balletto balletto-theater,GM,2.0,1581,6-course
Balletto,balletto balletto-theater,FM,2.0,1581,6-course
Baletto,balletto balletto-theater,DM,2.0,1581,6-course
Sonata Prima,sonata,Dm,3.0,1629,archlute flute
Sonata Prima,sonata,Dm,3.0,1629,archlute flute
Sonata Prima,sonata,Dm,3.0,1629,archlute flute
O delle mie speranze,lute song,BbM,2.0,1645,7-course soprano
O delle mie speranze,lute song,BbM,2.0,1645,7-course soprano
Piante Ombrose,lute song,Em,3.0,1651,archlute 6-course bass viol soprano
Piante Ombrose,lute song,Em,2.0,1651,archlute 6-course bass viol soprano
Piante Ombrose,lute song,Em,2.0,1651,archlute 6-course bass viol soprano
Ligiadra Donna,balletto balletto-theater,CM,3.0,1400,6-course
Chi nel servir antico,ballad lute song,CM,3.0,1410,5-course 6-course bass viol tenor viol vocal
Chi nel servir antico,ballad,CM,3.0,1410,5-course
Chi nel servir antico,ballad,CM,3.0,1410,5-course
Anchor che col partire,lute song,Am,3.0,1550,8-course alto
1. Oft thou hast,lute song,CM,3.0,1606,6-course 6-course bass viol alto soprano
1. Oft thou hast,lute song,CM,3.0,1606,6-course 6-course bass viol alto soprano
1. Oft thou hast,lute song,CM,3.0,1606,6-course 6-course bass viol alto soprano
2. O sweet flower,lute song,CM,3.0,1606,6-course 6-course bass viol alto soprano
2. O sweet flower,lute song,CM,3.0,1606,6-course 6-course bass viol alto soprano
2. O sweet flower,lute song,CM,3.0,1606,6-course 6-course bass viol alto soprano
3. O the unsure hopes,lute song,CM,2.0,1606,6-course 6-course bass viol alto soprano
3. O the unsure hopes,lute song,CM,2.0,1606,6-course 6-course bass viol alto soprano
3. O the unsure hopes,lute song,CM,2.0,1606,6-course 6-course bass viol alto soprano
4. In darkness let me dwell,lute song,Am,3.0,1606,6-course 6-course bass viol alto soprano
4. In darkness let me dwell,lute song,Am,3.0,1606,6-course 6-course bass viol alto soprano
4. In darkness let me dwell,lute song,Am,3.0,1606,6-course 6-course bass viol alto soprano
5. My joy is dead,lute song,Gm,3.0,1606,6-course 6-course bass viol alto soprano
5. My joy is dead,lute song,Am,3.0,1606,6-course 6-course bass viol alto soprano
5. My joy is dead,lute song,Am,3.0,1606,6-course 6-course bass viol alto soprano
6. Deceitful fancy,lute song,Gm,3.0,1606,6-course 6-course bass viol alto soprano
6. Deceitful fancy,lute song,Gm,3.0,1606,6-course 6-course bass viol alto soprano
6. Deceitful fancy,lute song,Gm,3.0,1606,6-course 6-course bass viol alto soprano
7. Foe of mankind,lute song,Gm,3.0,1606,6-course 6-course bass viol tenor soprano
7. Foe of mankind,lute song,Gm,3.0,1606,6-course 6-course bass viol alto soprano
7. Foe of mankind,lute song,Gm,3.0,1606,6-course 6-course bass viol alto soprano
1. O Griefe,lament lute song,Gm,2.0,1613,6-course bass viol 6-course alto
1. O Griefe,lament lute song,Gm,2.0,1613,6-course bass viol 6-course alto
1. O Griefe,lament lute song,Gm,2.0,1613,6-course bass viol 6-course alto
Tis now dead night,lament lute song,Gm,2.0,1613,6-course bass viol 6-course soprano
Tis now dead night,lament lute song,Gm,2.0,1613,6-course bass viol 6-course soprano
Tis now dead night,lament lute song,Gm,2.0,1613,6-course bass viol 6-course soprano
3. Fortune and glory,lament lute song,Cm,2.0,1613,6-course bass viol 6-course soprano
3. Fortune and glory,lament lute song,Cm,2.0,1613,6-course bass viol 6-course soprano
3. Fortune and glory,lament lute song,Cm,2.0,1613,6-course bass viol 6-course soprano
4. So parted you,lament lute song,GM,2.0,1613,6-course bass viol 6-course alto
4. So parted you,lament lute song,GM,2.0,1613,6-course bass viol 6-course alto
4. So parted you,lament lute song,GM,2.0,1613,6-course bass viol 6-course alto
5. How like a golden dream,lament lute song,GM,2.0,1613,6-course bass viol 6-course soprano
5. How like a golden dream,lament lute song,GM,2.0,1613,6-course bass viol 6-course soprano
5. How like a golden dream,lament lute song,GM,2.0,1613,6-course bass viol 6-course soprano
6. When pale famine,lament lute song,Gm,2.0,1613,6-course bass viol 6-course soprano
6. When pale famine,lament lute song,Gm,2.0,1613,6-course bass viol 6-course soprano
6. When pale famine,lament lute song,Gm,2.0,1613,6-course bass viol 6-course soprano
7. O poore distracted world,lament lute song,CM,2.0,1613,6-course bass viol 6-course soprano
7. O poore distracted world,lament lute song,CM,2.0,1613,6-course bass viol 6-course soprano
7. O poore distracted world,lament lute song,CM,2.0,1613,6-course bass viol 6-course soprano
Go happy man,lute song,Gm,2.0,1614,6-course bass viol 6-course soprano
Go happy man,lute song,Gm,2.0,1614,6-course bass viol 6-course soprano
Go happy man,lute song,Gm,2.0,1614,6-course bass viol 6-course soprano
While dancing rests,lute song,Gm,2.0,1614,6-course bass viol 6-course soprano
While dancing rests,lute song,Gm,2.0,1614,6-course bass viol 6-course soprano
While dancing rests,lute song,Gm,2.0,1614,6-course bass viol 6-course soprano
Come ashore merry mates,lute song,FM,2.0,1614,6-course bass viol 7-course soprano
Come ashore merry mates,lute song,FM,2.0,1614,6-course bass viol 7-course soprano
Come ashore merry mates,lute song,FM,2.0,1614,6-course bass viol 7-course soprano
Trio Sonata Opus 4,trio sonata,Cm,3.0,1689,8-course 6-course bass viol flute 2:flute flute 1:flute
Trio Sonata Opus 4,trio sonata,Cm,3.0,1689,8-course 6-course bass viol flute 2:flute flute 1:flute
Trio Sonata Opus 4,trio sonata,Cm,3.0,1689,8-course 6-course bass viol flute 2:flute flute 1:flute
Sonata à 3 in C minor,trio sonata,Cm,3.0,1689,8-course 6-course bass viol flute 2:flute flute 1:flute
Ah Robyn gentle Robyn,madrigal,Dm,3.0,1515,tenor tenor alto
Ah Robyn gentle Robyn,lute song,Em,3.0,1515,6-course alto
Ah Robyn gentle Robyn,lute song,Em,3.0,1515,6-course alto
Ah Robyn gentle Robyn,madrigal,Em,3.0,1515,tenor alto soprano
