Title,Subtitle,Composer,Orig. composer,Source,Document,Volume,Date,Page,Editor,Encoder,Arranger,Intabulator,Contributor,Concordances,Piece,Section,Type,Key,Difficulty,Ensemble,Part,Remarks,Recording,Facsimile,Fronimo,PDF,Midi,Created,Modified
Go from my window,,Anonymous,,Unknown,Source unknown,,1590,%8,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,Go from my window,,vocal intabulation,FM,1.0,6-course,,,,,https://lutemusic.org/composers/Anon/go_from_my_window_simple.ft3,https://lutemusic.org/composers/Anon/pdf/go_from_my_window_simple.pdf,https://lutemusic.org/composers/Anon/midi/go_from_my_window_simple.mid,1709916849,1590338689
"Las, je ne puis plus nullement durer",,Anonymous,,Unknown,Source unknown,,1475,%98,Sarge Gerbode,Trystero Montevideo and Cezar Mate,Trystero Montevideo and Cezar Mateus,,,,"Las, je ne puis plus nullement durer",,vocal intabulation,Dm,2.0,5-course,,,,,https://lutemusic.org/composers/Anon/las_je_ne_puis.ft3,https://lutemusic.org/composers/Anon/pdf/las_je_ne_puis.pdf,https://lutemusic.org/composers/Anon/midi/las_je_ne_puis.mid,1709916849,1590368213
Alle psallite cum luya,,Anonymous,,"F-MOf:Facultè de Medecine, Montpellier",H 196:Montpellier Manuscript,,1250,%1,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,Alle psallite cum luya,,religious,Dm,2.0,6-course,,,,,https://lutemusic.org/composers/Anon/alle_psallite_cum_luya/alle_psallite_cum_luya.ft3,https://lutemusic.org/composers/Anon/alle_psallite_cum_luya/pdf/alle_psallite_cum_luya.pdf,https://lutemusic.org/composers/Anon/alle_psallite_cum_luya/midi/alle_psallite_cum_luya.mid,1709916849,1697319268
Alle psallite cum luya,,Anonymous,,"F-MOf:Facultè de Medecine, Montpellier",H 196:Montpellier Manuscript,,1250,%1,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,Alle psallite cum luya,Performance,religious,Dm,2.0,6-course,,,,,https://lutemusic.org/composers/Anon/alle_psallite_cum_luya/alle_psallite_cum_luya_P.ft3,https://lutemusic.org/composers/Anon/alle_psallite_cum_luya/pdf/alle_psallite_cum_luya_P.pdf,https://lutemusic.org/composers/Anon/alle_psallite_cum_luya/midi/alle_psallite_cum_luya_P.mid,1709916849,1697650628
Branles,,Anonymous,,Unknown,Source unknown,,1550,%23,Sarge Gerbode,Sarge Gerbode,,,,,Branles,,branle,FM,3.0,7-course,,,,,https://lutemusic.org/composers/Anon/dances/Branles.ft3,https://lutemusic.org/composers/Anon/dances/pdf/Branles.pdf,https://lutemusic.org/composers/Anon/dances/midi/Branles.mid,1709916849,1700164319
Pazzamezzo,,Anonymous,,Unknown,Source unknown,,1550,%24,Sarge Gerbode,Sarge Gerbode,,,,,Pazzamezzo,,"passamezzo, passamezzo-harmony",FM,2.0,7-course,,,,,https://lutemusic.org/composers/Anon/dances/passamezzo.ft3,https://lutemusic.org/composers/Anon/dances/pdf/passamezzo.pdf,https://lutemusic.org/composers/Anon/dances/midi/passamezzo.mid,1709916849,1700675884
Tedesca,,Anonymous,,Unknown,Source unknown,,1550,%21,Sarge Gerbode,Sarge Gerbode,,,,,Tedesca,,allemande,CM,3.0,6-course,6-course,,,,https://lutemusic.org/composers/Anon/dances/tedesca1.ft3,https://lutemusic.org/composers/Anon/dances/pdf/tedesca1.pdf,https://lutemusic.org/composers/Anon/dances/midi/tedesca1.mid,1709916849,1700164319
Greensleeves,,Anonymous,,Unknown,Traditional 16th Century popular song,,1550,%1,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,Greensleeves,,vocal intabulation,Cm,2.0,6-course,,,,,https://lutemusic.org/composers/Anon/greensleeves/greensleeves.ft3,https://lutemusic.org/composers/Anon/greensleeves/pdf/greensleeves.pdf,https://lutemusic.org/composers/Anon/greensleeves/midi/greensleeves.mid,1709916849,1697319464
A caroll for New-yeare's day,To the tune of Greensleeves,Anonymous,,"GB-Ob:Bodleian Library, Oxford",Wood #3:New Christmas Carols,,1642,%1,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,A caroll for New-yeare's day,,lute song,Em,3.0,"alto, 8-course",score,,,,https://lutemusic.org/composers/Anon/songs/greensleeves/greensleeves_year_end_Em.ft3,https://lutemusic.org/composers/Anon/songs/greensleeves/pdf/greensleeves_year_end_Em.pdf,https://lutemusic.org/composers/Anon/songs/greensleeves/midi/greensleeves_year_end_Em.mid,1709916849,1703637287
A caroll for New-yeare's day,To the tune of Greensleeves,Anonymous,,"GB-Ob:Bodleian Library, Oxford",Wood #3:New Christmas Carols,,1642,%1,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,A caroll for New-yeare's day,,lute song,Em,3.0,"alto, 8-course",8-course,,,,https://lutemusic.org/composers/Anon/songs/greensleeves/greensleeves_year_end_Em_T.ft3,https://lutemusic.org/composers/Anon/songs/greensleeves/pdf/greensleeves_year_end_Em_T.pdf,https://lutemusic.org/composers/Anon/songs/greensleeves/midi/greensleeves_year_end_Em_T.mid,1709916849,1703637287
Robin is to the green wood gone,,Anonymous,,Unknown,Source unknown,,1600,%77,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,Robin is to the green wood gone,,lute song,Cm,2.0,"tenor, 6-course",6-course,,,,https://lutemusic.org/composers/Anon/songs/robin_is_to_the_green_wood_gone/robin_is_to_the_green_wood_gone_T.ft3,https://lutemusic.org/composers/Anon/songs/robin_is_to_the_green_wood_gone/pdf/robin_is_to_the_green_wood_gone_T.pdf,https://lutemusic.org/composers/Anon/songs/robin_is_to_the_green_wood_gone/midi/robin_is_to_the_green_wood_gone_T.mid,1709916849,1590339152
Robin is to the green wood gone,,Anonymous,,Unknown,Source unknown,,1600,%77,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,Robin is to the green wood gone,,lute song,Cm,2.0,"tenor, 6-course",score,,,,https://lutemusic.org/composers/Anon/songs/robin_is_to_the_green_wood_gone/robin_is_to_the_green_wood_gone_VT.ft3,https://lutemusic.org/composers/Anon/songs/robin_is_to_the_green_wood_gone/pdf/robin_is_to_the_green_wood_gone_VT.pdf,https://lutemusic.org/composers/Anon/songs/robin_is_to_the_green_wood_gone/midi/robin_is_to_the_green_wood_gone_VT.mid,1709916849,1590339200
And let me the canakin clink,,Anonymous,,William Shakespeare,Othello,,1605,%1,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,And let me the canakin clink,,lute song,FM,2.0,"tenor, 7-course","tenor, 7-course",,,,https://lutemusic.org/composers/Anon/songs/shakespeare/and_let_me_the_cannakin_clink/and_let_me_the_cannakin_clink.ft3,https://lutemusic.org/composers/Anon/songs/shakespeare/and_let_me_the_cannakin_clink/pdf/and_let_me_the_cannakin_clink.pdf,https://lutemusic.org/composers/Anon/songs/shakespeare/and_let_me_the_cannakin_clink/midi/and_let_me_the_cannakin_clink.mid,1709916849,1697319732
And let me the canakin clink,,Anonymous,,William Shakespeare,Othello,,1605,%1,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,And let me the canakin clink,,lute song,FM,2.0,"tenor, 7-course",7-course,,,,https://lutemusic.org/composers/Anon/songs/shakespeare/and_let_me_the_cannakin_clink/and_let_me_the_cannakin_clink_T.ft3,https://lutemusic.org/composers/Anon/songs/shakespeare/and_let_me_the_cannakin_clink/pdf/and_let_me_the_cannakin_clink_T.pdf,https://lutemusic.org/composers/Anon/songs/shakespeare/and_let_me_the_cannakin_clink/midi/and_let_me_the_cannakin_clink_T.mid,1709916849,1697319745
Three Merry Men,,Anonymous,,William Shakespeare,Twelfth Night II-3,,1623,%1,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,Three Merry Men,,lute song,GM,2.0,"alto, 8-course",score,,,,https://lutemusic.org/composers/Anon/songs/shakespeare/three_merry_men/three_merry_men.ft3,https://lutemusic.org/composers/Anon/songs/shakespeare/three_merry_men/pdf/three_merry_men.pdf,https://lutemusic.org/composers/Anon/songs/shakespeare/three_merry_men/midi/three_merry_men.mid,1709916849,1697319802
Three Merry Men,,Anonymous,,William Shakespeare,Twelfth Night II-3,,1623,%1,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,Three Merry Men,Performance,lute song,GM,2.0,"alto, 8-course",score,,,,https://lutemusic.org/composers/Anon/songs/shakespeare/three_merry_men/three_merry_men_P.ft3,https://lutemusic.org/composers/Anon/songs/shakespeare/three_merry_men/pdf/three_merry_men_P.pdf,https://lutemusic.org/composers/Anon/songs/shakespeare/three_merry_men/midi/three_merry_men_P.mid,1709916849,1697650628
Three Merry Men,,Anonymous,,William Shakespeare,Twelfth Night II-3,,1623,%1,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,Three Merry Men,,lute song,GM,2.0,"alto, 8-course",8-course,,,,https://lutemusic.org/composers/Anon/songs/shakespeare/three_merry_men/three_merry_men_T.ft3,https://lutemusic.org/composers/Anon/songs/shakespeare/three_merry_men/pdf/three_merry_men_T.pdf,https://lutemusic.org/composers/Anon/songs/shakespeare/three_merry_men/midi/three_merry_men_T.mid,1709916849,1697319848
